Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Boisrond, K., Tardif, P.M., Jaafar, F.","59244133000;6602263599;54684236700;","Ensuring the Integrity, Confidentiality, and Availability of IoT Data in Industry 5.0: A Systematic Mapping Study",2024,"IEEE Access","12",,,"107017","107045",0,16,"10.1109/ACCESS.2024.3434618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200205212&doi=10.1109%2fACCESS.2024.3434618&partnerID=40&md5=2d471a22fbb95ce962bde104e6239ba9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85200205212
"Olsson, H.H., Bosch, J.","24335916300;56675290800;","Strategic Digital Product Management in the Age of AI",2024,"Lecture Notes in Business Information Processing","500 LNBIP",,,"344","359",0,5,"10.1007/978-3-031-53227-6_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188683557&doi=10.1007%2f978-3-031-53227-6_24&partnerID=40&md5=ff21f9d7826ae4b6d04a0c34aee99441",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85188683557
"Cederbladh, J., Berardinelli, L., Bruneliere, H., Cicchetti, A., Dehghani, M., Di Sipio, C., Miranda, J., Rahimi, A., Rubei, R., Suryadevara, J.","58813190300;23466256500;27067480800;22733357800;57214824076;57215525221;57190380083;58345727100;57204794283;23393730500;","Towards Automating Model-Based Systems Engineering in Industry - An Experience Report",2024,"Syscon 2024 18th Annual IEEE International Systems Conference Proceedings",,,,"","",0,10,"10.1109/SysCon61195.2024.10553610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197357111&doi=10.1109%2fSysCon61195.2024.10553610&partnerID=40&md5=b5d90a171c904a3099a983981c72889a",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85197357111
"Sharma, H.S., Sarkar, A., Singh, M.M.","57924722400;24578195200;56316589700;","An efficient deep learning-based solution for network intrusion detection in wireless sensor network",2023,"International Journal of System Assurance Engineering and Management","14","6",,"2423","2446",0,11,"10.1007/s13198-023-02090-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168120034&doi=10.1007%2fs13198-023-02090-0&partnerID=40&md5=6645e7434b26c93e3125c6f162137510",Article,"Final","",Scopus,2-s2.0-85168120034
"Ballhausen, H., Hinske, L.C.","55630336600;26635250300;","Federated Secure Computing",2023,"Informatics","10","4","83","","",0,5,"10.3390/informatics10040083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180652343&doi=10.3390%2finformatics10040083&partnerID=40&md5=7bd84edde1728d48b92ba1c709648ead",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85180652343
"Dobaj, J., Riel, A., Macher, G., Egretzberger, M.","57203317154;6507294478;56418503500;58823980100;","Towards DevOps for Cyber-Physical Systems (CPSs): Resilient Self-Adaptive Software for Sustainable Human-Centric Smart CPS Facilitated by Digital Twins",2023,"Machines","11","10","973","","",0,18,"10.3390/machines11100973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175031906&doi=10.3390%2fmachines11100973&partnerID=40&md5=5e0d1126be87b6fd21b7b77f667e9194",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85175031906
"Herrera, J.L., Berrocal, J., Forti, S., Brogi, A., Murillo, J.M.","57215896262;32667521200;57195946378;57193752782;8687210000;","Continuous QoS-aware adaptation of Cloud-IoT application placements",2023,"Computing","105","9",,"2037","2059",0,17,"10.1007/s00607-023-01153-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146955227&doi=10.1007%2fs00607-023-01153-1&partnerID=40&md5=2aa0174cfa74210569087c07d839e454",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85146955227
"Yeruva, A.R., Ramu, V.B.","57987691700;58313915600;","AIOps research innovations, performance impact and challenges faced",2023,"International Journal of System of Systems Engineering","13","3",,"229","247",0,12,"10.1504/IJSSE.2023.133013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169931710&doi=10.1504%2fIJSSE.2023.133013&partnerID=40&md5=8191bb057f31134b1ba4e4b29adbcbad",Article,"Final","",Scopus,2-s2.0-85169931710
"Baron, C., Louis, V.","7102110919;57221372163;","Framework and tooling proposals for Agile certification of safety-critical embedded software in avionic systems",2023,"Computers in Industry","148",,"103887","","",0,10,"10.1016/j.compind.2023.103887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150266211&doi=10.1016%2fj.compind.2023.103887&partnerID=40&md5=05e21ac80be2c1b4d10edda2b055e718",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85150266211
"Zampetti, F., Tamburri, D., Panichella, S., Panichella, A., Canfora, G., Di Penta, M.","57193336107;35488974800;35095375100;35095519000;7006337131;6602794138;","Continuous Integration and Delivery Practices for Cyber-Physical Systems: An Interview-Based Study",2023,"ACM Transactions on Software Engineering and Methodology","32","3","73","","",0,20,"10.1145/3571854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162002833&doi=10.1145%2f3571854&partnerID=40&md5=8c5f68470ca18aba99495f5eff0de260",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85162002833
"Fritzsch, J., Bogner, J., Haug, M., Franco da Silva, A.C., Rubner, C., Saft, M., Sauer, H., Wagner, S.","57203399187;57189261793;57221288954;57192212727;57953871500;23992624800;57130020300;55286051900;","Adopting microservices and DevOps in the cyber-physical systems domain: A rapid review and case study",2023,"Software Practice and Experience","53","3",,"790","810",0,20,"10.1002/spe.3169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143406852&doi=10.1002%2fspe.3169&partnerID=40&md5=9523525a972a68fb24ff63b44e2cbb19",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85143406852
"Aktas, G., Ipek, B., Konukoglu, E.A., Aydin, Y.","57197953575;58928327600;58903669800;25627484300;","Development of Artificial Intelligence Supported Tool for Anomaly Detection in Cloud Computing Systems",2023,"4th International Conference on Electrical Communication and Computer Engineering Icecce 2023",,,,"","",0,3,"10.1109/ICECCE61019.2023.10442490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187216002&doi=10.1109%2fICECCE61019.2023.10442490&partnerID=40&md5=b8757fc4dbd9890b9a9ff174cbce25a5",Conference Paper,"Final","",Scopus,2-s2.0-85187216002
"Aruna, K., Pradeep, G.","57560923200;57211448847;","CFSSN: Container with Fog based Scalable Self-organizing Network",2023,"Journal of Intelligent and Fuzzy Systems","44","3",,"4137","4148",0,1,"10.3233/JIFS-221524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162041632&doi=10.3233%2fJIFS-221524&partnerID=40&md5=591e979ed8f0ac411bba21f6806182aa",Article,"Final","",Scopus,2-s2.0-85162041632
"Pautasso, C.","7801368483;","A Brief History of Liquid Software",2023,"Proceedings IEEE International Conference on Edge Computing","2023-July",,,"354","363",0,2,"10.1109/EDGE60047.2023.00058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173460030&doi=10.1109%2fEDGE60047.2023.00058&partnerID=40&md5=9811364846d6e15a7240f662ca2eb259",Conference Paper,"Final","",Scopus,2-s2.0-85173460030
"Solayman, H.E., Qasha, R.P.","57682084000;57160066300;","Seamless Integration of DevOps Tools for Provisioning Automation of the IoT Application on Multi-Infrastructures",2023,"2023 3rd International Conference on Intelligent Communication and Computational Techniques ICCT 2023",,,,"","",0,5,"10.1109/ICCT56969.2023.10075814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152204160&doi=10.1109%2fICCT56969.2023.10075814&partnerID=40&md5=5e873373df7c12295ebdc2ed09f39f3a",Conference Paper,"Final","",Scopus,2-s2.0-85152204160
"Di Modica, G., Galletta, A., Carnevale, L., Alkhansa, A., Costantini, A., Cesini, D., Bellavista, P., Villari, M.","57209339075;57195106941;57195963279;58033063300;8979348400;24757828000;6603925242;12645423500;","Orchestration of Containerized Applications in the Cloud Continuum",2023,"2023 IEEE International Conference on Pervasive Computing and Communications Workshops and Other Affiliated Events Percom Workshops 2023",,,,"44","49",0,2,"10.1109/PerComWorkshops56833.2023.10150375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164185886&doi=10.1109%2fPerComWorkshops56833.2023.10150375&partnerID=40&md5=6cff86acc0607c87eccca0b4ccb7247d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85164185886
"Arrieta, A., Sagardui, G., Agirre, A., Afzal, W., Ali, S.","56514865400;13104721400;57203899020;24832739300;56962801700;","DevOps for Cyber-Physical Systems: Objectives, Results and Lessons Learned from the Adeptness H2020 Project",2023,"Proceedings 2023 26th Euromicro Conference on Digital System Design Dsd 2023",,,,"184","189",0,,"10.1109/DSD60849.2023.00035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189142410&doi=10.1109%2fDSD60849.2023.00035&partnerID=40&md5=90af5e5356e971b99ce1ea57e637e0d2",Conference Paper,"Final","",Scopus,2-s2.0-85189142410
"Mehdi, A., Bali, M.K., Abbas, S.I., Singh, M.","58765521200;58765450700;58671169900;56040301000;","""Unleashing the Potential of Grafana: A Comprehensive Study on Real-Time Monitoring and Visualization""",2023,"2023 14th International Conference on Computing Communication and Networking Technologies Icccnt 2023",,,,"","",0,6,"10.1109/ICCCNT56998.2023.10306699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179850781&doi=10.1109%2fICCCNT56998.2023.10306699&partnerID=40&md5=43b5a024a3740f66f8f86992de66c4e8",Conference Paper,"Final","",Scopus,2-s2.0-85179850781
"Obst, A.G., Eng, J., Decker, R.A., McNamara, H., Knuth, A., Becker, L.","58293752100;58293627900;58293883900;58294528500;55220569200;57219400231;","InSECTS Cloud Agnostic On-Orbit Processing for Satellite Development",2023,"IEEE Aerospace Conference Proceedings","2023-March",,,"","",0,1,"10.1109/AERO55745.2023.10115658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160542905&doi=10.1109%2fAERO55745.2023.10115658&partnerID=40&md5=7ebb1ca7fbcd003093623a4de10b9767",Conference Paper,"Final","",Scopus,2-s2.0-85160542905
"Koren, I., Rinker, F., Meixner, K., Kröger, M., Zeng, M.","55820473400;57205417794;57204805351;57206397362;58311956400;","Implementing DevOps Practices in CPPS Using Microservices and GitOps",2023,"IEEE International Conference on Emerging Technologies and Factory Automation ETFA","2023-September",,,"","",0,5,"10.1109/ETFA54631.2023.10275433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175481825&doi=10.1109%2fETFA54631.2023.10275433&partnerID=40&md5=4bd64811de7ade6b2e3dba1a445922cd",Conference Paper,"Final","",Scopus,2-s2.0-85175481825
"Alonso, J., Huarte, M., Arrieta, L.O.-E.","55961117200;58110005000;55681115900;","ACSmI: a solution to address the challenges of cloud services federation and monitoring towards the cloud continuum",2023,"International Journal of Computational Science and Engineering","26","5",,"537","554",0,1,"10.1504/IJCSE.2023.133676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174051287&doi=10.1504%2fIJCSE.2023.133676&partnerID=40&md5=885d43158154f3538fc31c82db0ba213",Article,"Final","",Scopus,2-s2.0-85174051287
"Talekar, M., Harpale, V.K.","58928724700;56891625600;","CI-CD Workflow For Embedded System Design",2023,"2023 7th International Conference on Computing Communication Control and Automation Iccubea 2023",,,,"","",0,1,"10.1109/ICCUBEA58933.2023.10392168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187248413&doi=10.1109%2fICCUBEA58933.2023.10392168&partnerID=40&md5=5005595a12ea3f8e44f9f3742e6d8c49",Conference Paper,"Final","",Scopus,2-s2.0-85187248413
"Buttar, A.M., Khalid, A., Alenezi, M., Akbar, M.A., Rafi, S., Gumaei, A.H., Riaz, M.T.","42262245300;58077304900;55854089000;57200183503;57215827304;55332296700;57217657646;","Optimization of DevOps Transformation for Cloud-Based Applications",2023,"Electronics Switzerland","12","2","357","","",0,10,"10.3390/electronics12020357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146795884&doi=10.3390%2felectronics12020357&partnerID=40&md5=b1cc72fc574a3b491b58b3f87a4407fb",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146795884
"Simopoulos, D., Wolf, A.","57556546600;57556172900;","Overcoming New Technologies Challenges in IoT Security Labs: Strategies for Effective Adaptation",2023,"2023 IFIP Networking Conference IFIP Networking 2023",,,,"","",0,,"10.23919/IFIPNetworking57963.2023.10186388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167867714&doi=10.23919%2fIFIPNetworking57963.2023.10186388&partnerID=40&md5=34195cd7244122d50f7caf9aee3e58c2",Conference Paper,"Final","",Scopus,2-s2.0-85167867714
"Guissouma, H., Zink, M., Sax, E.","57203912030;58246022900;35243409200;","Continuous Safety Assessment of Updated Supervised Learning Models in Shadow Mode",2023,"Proceedings IEEE 20th International Conference on Software Architecture Companion Icsa C 2023",,,,"301","308",0,8,"10.1109/ICSA-C57050.2023.00069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159089396&doi=10.1109%2fICSA-C57050.2023.00069&partnerID=40&md5=021d8da5e9c87ee95ed26fe22f65534d",Conference Paper,"Final","",Scopus,2-s2.0-85159089396
"Moens, P., Andriessen, B., Sebrechts, M., Volckaert, B., Van Hoecke, S.","57215091723;58297913500;57193068481;6507089696;8576234000;","Edge Anomaly Detection Framework for AIOps in Cloud and IoT",2023,"International Conference on Cloud Computing and Services Science Closer Proceedings","2023-April",,,"204","211",0,5,"10.5220/0011838600003488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160778762&doi=10.5220%2f0011838600003488&partnerID=40&md5=a1ca3d144c5634c8a13c03c7ebbd9e73",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85160778762
"Zhong, T., Teng, Y., Ma, S., Chen, J., Yu, S.","58779517100;35308431000;57220858362;58778681400;57361588600;","A Microservices Identification Method Based on Spectral Clustering for Industrial Legacy Systems",2023,"2023 IEEE Globecom Workshops GC Wkshps 2023",,,,"1331","1337",0,3,"10.1109/GCWkshps58843.2023.10464508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190244017&doi=10.1109%2fGCWkshps58843.2023.10464508&partnerID=40&md5=69236e38c0184b0ebe1c96b132947047",Conference Paper,"Final","",Scopus,2-s2.0-85190244017
"Byrne, K., Cevenini, A.","58654349300;58654247300;","Aligning DevOps Concepts with Agile Models of the Software Development Life Cycle (SLDC) in Pursuit of Continuous Regulatory Compliance",2023,"Lecture Notes in Electrical Engineering","1029 LNEE",,,"359","374",0,1,"10.1007/978-3-031-29078-7_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174446367&doi=10.1007%2f978-3-031-29078-7_32&partnerID=40&md5=50f09ec4385fa1ec9b4bcda52f50d1c3",Conference Paper,"Final","",Scopus,2-s2.0-85174446367
"Aktaş, G., Konukoǧlu, E., Aydin, Y.","57197953575;58903669800;25627484300;","Monitoring Approach and Framework Development for System Tracking in IoT Devices",2023,"14th International Conference on Electrical and Electronics Engineering Eleco 2023 Proceedings",,,,"","",0,1,"10.1109/ELECO60389.2023.10416017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185827468&doi=10.1109%2fELECO60389.2023.10416017&partnerID=40&md5=b511d2eb1b65caf008c041ddff989d0e",Conference Paper,"Final","",Scopus,2-s2.0-85185827468
"Zhang, X., Tang, B., Yang, Q., Xu, W., Guo, F.","57442581900;50162526500;57202223559;57712834400;57221589772;","Cost-Optimized Microservice Deployment for IoT Application in Cloud-Edge Collaborative Environment",2023,"Proceedings of the 2023 26th International Conference on Computer Supported Cooperative Work in Design Cscwd 2023",,,,"873","878",0,5,"10.1109/CSCWD57460.2023.10152549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164737463&doi=10.1109%2fCSCWD57460.2023.10152549&partnerID=40&md5=2dd2800ed432bfd5e98cae4473dd2bf2",Conference Paper,"Final","",Scopus,2-s2.0-85164737463
"Stanciu, A., Miclea, L.C.","22434453900;6508329176;","Ecosystem-Centric Approach to Intelligent Product Development: Paving the Way for Scalable and Adaptive Solutions",2023,"2023 27th International Conference on System Theory Control and Computing Icstcc 2023 Proceedings",,,,"493","498",0,1,"10.1109/ICSTCC59206.2023.10308437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179506887&doi=10.1109%2fICSTCC59206.2023.10308437&partnerID=40&md5=b6b8111fe028b60232d954e01f65f515",Conference Paper,"Final","",Scopus,2-s2.0-85179506887
"Fornes-Leal, A., Biot, F.M., Vano, R., Simon, R.R., Szmeja, P., Lacalle, I., Palau, C.E.","56644785200;59145280600;57218282812;58999186900;55236510400;57211429006;55934518500;","Design Concepts of the ASSIST-IoT Smart Orchestrator for Managing the Realization of NGIoT Systems",2023,"2023 IEEE World Forum on Internet of Things the Blue Planet A Marriage of Sea and Space Wf Iot 2023",,,,"","",0,,"10.1109/WF-IoT58464.2023.10539440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195395880&doi=10.1109%2fWF-IoT58464.2023.10539440&partnerID=40&md5=8e6aa94d95d499ace2a31279792fb3d6",Conference Paper,"Final","",Scopus,2-s2.0-85195395880
"Duser, T., Fischer, D., Freyer, J.","25925737100;58771042700;58656098600;","A Study on the Paradigm Shift in the Validation of Automated Vehicles",2023,"Iavvc 2023 IEEE International Automated Vehicle Validation Conference Proceedings",,,,"","",0,2,"10.1109/IAVVC57316.2023.10328076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180126080&doi=10.1109%2fIAVVC57316.2023.10328076&partnerID=40&md5=929bc6915ebcef7c402cc9c7d2756a08",Conference Paper,"Final","",Scopus,2-s2.0-85180126080
"Varelas, T.J., Kaklis, D., Varlamis, I., Flori, A.","55316581800;57210581754;6603228762;58664810600;","Improving Voyage Efficiency in the Shipping 4.0 Decarbonization Era",2023,"Proceedings 17th IEEE International Conference on Service Oriented System Engineering Sose 2023",,,,"191","198",0,1,"10.1109/SOSE58276.2023.00030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174918423&doi=10.1109%2fSOSE58276.2023.00030&partnerID=40&md5=af605c173de8914d9edb7eba3d08bfb8",Conference Paper,"Final","",Scopus,2-s2.0-85174918423
"Koren, I., Rinker, F., Meixner, K., Matevska, J., Walter, J.","55820473400;57205417794;57204805351;24479045500;57197514457;","Challenges and Opportunities of DevOps in Cyber-Physical Production Systems Engineering",2023,"Proceedings 2023 IEEE 6th International Conference on Industrial Cyber Physical Systems Icps 2023",,,,"","",0,17,"10.1109/ICPS58381.2023.10128073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163077071&doi=10.1109%2fICPS58381.2023.10128073&partnerID=40&md5=539769b13b2db7a01501366388b07750",Conference Paper,"Final","",Scopus,2-s2.0-85163077071
"Combemale, B., Jezequel, J.-M., Perez, Q., Vojtisek, D., Jansen, N., Michael, J., Rademacher, F., Rumpe, B., Wortmann, A., Zhang, J.","24343217800;35618077100;57210745319;56507460600;57204976543;55341586200;57015087900;55861872700;56581745100;58813182600;","Model-Based DevOps: Foundations and Challenges",2023,"Proceedings 2023 ACM IEEE International Conference on Model Driven Engineering Languages and Systems Companion Models C 2023",,,,"429","433",0,12,"10.1109/MODELS-C59198.2023.00076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182393081&doi=10.1109%2fMODELS-C59198.2023.00076&partnerID=40&md5=5093842f1c25cf16bbca726d628085df",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85182393081
"Albeanu, G., Popențiu-Vlădicescu, F., Madsen, H.","6602656209;36696997800;56519253700;","Dependability Analysis in TwinOps Environments",2023,"28th Issat International Conference on Reliability and Quality in Design Rqd 2023",,,,"359","363",0,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174361796&partnerID=40&md5=5e6f4c9d4d2392ceb0fe400da7e8d3ba",Conference Paper,"Final","",Scopus,2-s2.0-85174361796
"Mohammed, Y.A., Nourildean, S.W.","57216726691;56487868100;","An Intelligent Encrypt/Decrypt Algorithm in IoT Regarding Home Data Privacy and Security",2023,"International Journal of Computing and Digital Systems","13","1",,"1351","1358",0,,"10.12785/ijcds/1301110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165020696&doi=10.12785%2fijcds%2f1301110&partnerID=40&md5=51b4fdad4ef0a3ce95b5bb060e1a2113",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85165020696
"Lampe, B., Reiher, L., Zanger, L., Woopen, T., Van Kempen, R., Eckstein, L.","57219735081;57219740706;57218882437;57215353585;57219765293;35366150700;","RobotKube: Orchestrating Large-Scale Cooperative Multi-Robot Systems with Kubernetes and ROS",2023,"IEEE Conference on Intelligent Transportation Systems Proceedings ITSC",,,,"2719","2725",0,8,"10.1109/ITSC57777.2023.10422370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186536716&doi=10.1109%2fITSC57777.2023.10422370&partnerID=40&md5=745371dee44d339afac3bce6e202255b",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85186536716
"Oztoprak, K., Tuncel, Y.K., Butun, I.","21743623400;57355405300;35316899700;","Technological Transformation of Telco Operators towards Seamless IoT Edge-Cloud Continuum",2023,"Sensors","23","2","1004","","",0,31,"10.3390/s23021004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146716356&doi=10.3390%2fs23021004&partnerID=40&md5=bec43988db55dc23f472eb2236be675f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146716356
"Colarusso, C., De Iasio, A., Furno, A., Goglia, L., Merzoug, M.A., Zimeo, E.","57221690896;57215427627;54790878400;57215601767;56495320100;6602933134;","PROMENADE: A big data platform for handling city complex networks with dynamic graphs",2022,"Future Generation Computer Systems","137",,,"129","145",0,10,"10.1016/j.future.2022.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135137434&doi=10.1016%2fj.future.2022.07.008&partnerID=40&md5=cc50de6395a2f7f6162d347617d08e4e",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85135137434
"Pereira, I.M., Carneiro, T.G.D.S., Figueiredo, E.","57193726837;6505541905;18433988600;","Investigating Continuous Delivery on IoT Systems",2022,"ACM International Conference Proceeding Series",,,"8","","",0,3,"10.1145/3493244.3493261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147693522&doi=10.1145%2f3493244.3493261&partnerID=40&md5=b6d7a3d9449d63a7edd076e701e1b93b",Conference Paper,"Final","",Scopus,2-s2.0-85147693522
"Chadha, M., Pacyna, V., Jindal, A., Gu, J., Gerndt, M.","57193381434;57933767100;57203162595;57348828300;22333929300;","Migrating from Microservices to Serverless: An IoT Platform Case Study",2022,"Wosc 2022 Proceedings of the 8th International Workshop on Serverless Computing Part of Middleware 2022",,,,"19","24",0,1,"10.1145/3565382.3565881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145557445&doi=10.1145%2f3565382.3565881&partnerID=40&md5=b23aab768c1cb70af98b192732e11f5f",Conference Paper,"Final","",Scopus,2-s2.0-85145557445
"Bergelin, J., Strandberg, P.E.","57713657400;57193354005;","Industrial requirements for supporting AI-enhanced model-driven engineering",2022,"Proceedings ACM IEEE 25th International Conference on Model Driven Engineering Languages and Systems Models 2022 Companion Proceedings",,,,"375","379",0,4,"10.1145/3550356.3561609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142919611&doi=10.1145%2f3550356.3561609&partnerID=40&md5=3f673a8fe0276221b6726c9c312cd7e8",Conference Paper,"Final","",Scopus,2-s2.0-85142919611
"Zampetti, F., Nardone, V., Di Penta, M.","57193336107;56940443100;6602794138;","Problems and Solutions in Applying Continuous Integration and Delivery to 20 Open-Source Cyber-Physical Systems",2022,"Proceedings 2022 Mining Software Repositories Conference MSR 2022",,,,"646","657",0,8,"10.1145/3524842.3527948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134077833&doi=10.1145%2f3524842.3527948&partnerID=40&md5=b350cd117aa5b70dc310f3185e0dc60b",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85134077833
"Bruneliere, H., Muttillo, V., Eramo, R., Berardinelli, L., Gómez, A., Bagnato, A., Sadovykh, A., Cicchetti, A.","27067480800;56805275400;18039710400;23466256500;14050365600;36052505500;24479058100;22733357800;","AIDOaRt: AI-augmented Automation for DevOps, a model-based framework for continuous development in Cyber–Physical Systems",2022,"Microprocessors and Microsystems","94",,"104672","","",0,33,"10.1016/j.micpro.2022.104672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138071342&doi=10.1016%2fj.micpro.2022.104672&partnerID=40&md5=e0e1ce282b8b3929d9c739c230de17cf",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85138071342
"Song, H., Dautov, R., Ferry, N., Solberg, A., Fleurey, F.","57195274282;56626911600;35291975700;14827375100;8582683100;","Model-based fleet deployment in the IoT–edge–cloud continuum",2022,"Software and Systems Modeling","21","5",,"1931","1956",0,23,"10.1007/s10270-022-01006-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129268131&doi=10.1007%2fs10270-022-01006-z&partnerID=40&md5=55e80ed917209bc084b7101e1d9e50cc",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85129268131
"Hitimana, E., Bajpai, G., Musabe, R., Sibomana, L., Jayavel, K.","57222516825;57202923371;54895164500;55849220600;57188638422;","Containerized Architecture Performance Analysis for IoT Framework Based on Enhanced Fire Prevention Case Study: Rwanda",2022,"Sensors","22","17","6462","","",0,5,"10.3390/s22176462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137560749&doi=10.3390%2fs22176462&partnerID=40&md5=14018ca55236c5831192eb9c4c8daa33",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85137560749
"Yasar, H., Teplov, S.E.","57193614147;57219505072;","DevSecOps in Embedded Systems: An Empirical Study of Past Literature",2022,"ACM International Conference Proceeding Series",,,"155","","",0,9,"10.1145/3538969.3544451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136963110&doi=10.1145%2f3538969.3544451&partnerID=40&md5=8b11a05ccd465e59bed382b34ba05f68",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85136963110
"Kartheeyayini, V., Madhumitha, S., Lalitha, G., Jackulin, C., Subramanian, K.","57722806100;57723275300;57722483800;57216490406;57195072550;","AWS cloud computing platforms deployment of landing zone - Infrastructure as a code",2022,"Aip Conference Proceedings","2393",,"020175","","",0,2,"10.1063/5.0079757","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131163612&doi=10.1063%2f5.0079757&partnerID=40&md5=ca420b02db12f877d87668f87d2f211f",Conference Paper,"Final","",Scopus,2-s2.0-85131163612
"Alonso, J., Orue-Echevarria, L., Huarte, M.","55961117200;55681115900;58110005000;","CloudOps: Towards the Operationalization of the Cloud Continuum: Concepts, Challenges and a Reference Framework",2022,"Applied Sciences Switzerland","12","9","4347","","",0,17,"10.3390/app12094347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129018309&doi=10.3390%2fapp12094347&partnerID=40&md5=60fc7f14948387e4e9723a4a0fa3ebcf",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85129018309
"Cui, D., Xia, M.","57209306004;59396664800;","Application of Virtualization Technology in Aeronautical Computing Field [虚 拟 化 技 术 在 航 空 计 算 领 域 的 应 用]",2022,"Advances in Aeronautical Science and Engineering","13","2",,"71","77",0,4,"10.16615/j.cnki.1674-8190.2022.02.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188859912&doi=10.16615%2fj.cnki.1674-8190.2022.02.11&partnerID=40&md5=9d2cc7ff4430f5ed859f7608cab79720",Article,"Final","",Scopus,2-s2.0-85188859912
