source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
;Conference paper;C;6 - Security, Privacy and Risk Assessment.;LOW;93;Tool Support for Risk-driven Planning of Trustworthy Smart IoT Systems within DevOps;2,99;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;;;2;;;2;1;;1;1;2,99;HIGH;13;HIGH;GOOD;HIGH;SUFFICIENT;YES;YES;"Thompson A.; Erdogan G.";2020;10.5220/0009189307420753;https://www.scopus.com/pages/publications/85176374060?origin=resultslist;There is a serious lack of support for trustworthy smart IoT systems within DevOps. Security and privacy are often overlooked in DevOps cultures and almost absent in the context of IoT. In this paper, we focus on the planning stage of DevOps and propose a tool-supported method for risk-driven planning considering security and privacy risks. Our method consists of five steps: establish context, analyse dataflow, model privacy and security risk, develop risk assessment algorithm based on risk model, and execute risk assessment algorithm. Our tool supports this method in the first and the last step and facilitates dynamic risk assessment based on input provided by the user or collected from the monitoring stage into predefined risk models. The output of the tool is a risk assessment which the end users, e.g. developers, can use as decision support to prioritize certain parts of the target under analysis in the next cycle of DevOps. The tool and the method are evaluated in a real-world smart home case. Our initial evaluation indicates that the approach is comprehensible for our intended users, supports the planning stage in terms of security and privacy risk assessment, and feasible for use in the DevOps practice. © 2022 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.;;International Conference on Information Systems Security and Privacy;;;6 - Security, Privacy and Risk Assessment;smart-home IoT (trustworthy systems);"risk-driven planning stage of DevOps; dynamic risk assessment";custom risk-assessment tool (unspecified);Directly proposes a tool-supported risk-driven planning method for security and privacy within the DevOps lifecycle for smart IoT systems, evaluated in a real-world smart home case.;1;0;0;0;1;
;Article;J;1 - Novel Models for IoT;LOW;94;Towards a New Metamodel of Microservices and Devops Based Internet of Things Ecosystem;0,99;1;2;;;2;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;0;0;0,99;MEDIUM;8;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;NO;"El Khalyly, B; Belangour, A; Erraissi, A; Banane, M";2022;10.1007/978-3-030-90639-9_85;;The ecosystem of the Internet of Things is a set of physical devices such as sensors and actuators. It includes a set of servers and gateways that provide connectivity. These devices can be installed at three levels: the edge level, the fog level and the cloud level. Applications that monitor things and collect data from sensors are deployed at the edge, fog and cloud levels. These applications can be containerized and deployed in different devices by Docker, which takes advantage of its advantage to create executable containers that are isolated from each other. This paper presents a generic metamodel of the Internet of Things ecosystem based on microservices and supported by Docker as a containerization tool and Ansible as a monitoring tool. This metamodel allows us to generate a system of connected objects that can be deployed on three levels: Fog, Edge, Cloud. This metamodel can be used in different types of domains such as Smart Home - Smart City - Smart Vehicle - Smart Health - Smart Farm - Smart Factory. The metamodel proposed in this article is a fusion between 4 metamodels: Internet of Things - Microservices - Ansible - Docker.;;ADVANCED INTELLIGENT SYSTEMS FOR SUSTAINABLE DEVELOPMENT (AI2SD'2020), VOL 2;;;1 - Novel Models for IoT;generic IoT ecosystem (edge/fog/cloud, smart home/city/vehicle/health/farm/factory);metamodel-driven deployment;"Docker; Ansible";Presents a metamodel for IoT ecosystems using microservices, Docker, and Ansible across edge-fog-cloud layers, implicitly supporting DevOps deployment practices for IoT.;0;0;0;0;0;
;Article;J;5 - Large-Scale Testing.;MEDIUM;99;Unleashing the power of Devops and Iot: a framework for software delivery and system availability;3,33;1;;;;0;0;;0;;;;0;0;;1;;1;1;;0;;;;;;0;0;;1;1;3,33;HIGH;24;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Vaish P.; Anand N.; Sharma G.";2025;10.1007/s11042-024-19452-w;https://www.scopus.com/pages/publications/105004070607?origin=resultslist;This research paper proposes a DevOps and IoT-based software delivery and system availability performance model with continuous monitoring and feedback. The model was developed to measure the software delivery performance and system availability of organizations using various DevOps capabilities. The research involved data collection from IT organizations across different industries, and the findings were analyzed to determine the impact of different capabilities on software delivery performance and system availability. The results show that the use of DevOps practices, coupled with IoT-based monitoring, can significantly improve software delivery performance and system availability. The research also highlights the importance of operational capabilities in improving system availability. The study concludes by providing insights into how organizations can leverage the findings to improve their software delivery performance and system availability, ultimately becoming elite performers. The research provides valuable insights and a practical framework for organizations looking to improve their software delivery performance and system availability using DevOps and IoT-based approaches. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.;;Multimedia Tools and Applications;;;4 - Performance Monitoring;IT organizations using IoT-based monitoring (cross-industry);"DevOps capability model; continuous monitoring/feedback";not specified;Explicitly proposes and empirically evaluates a DevOps and IoT-based framework for software delivery and system availability, directly addressing motivations, practices, and tooling for DevOps+IoT integration.;1;0;0;0;1;
;Article;J;2 - CI/CD for Development, Integration, and Deployment;HIGH;100;WASMICO: Micro-containers in microcontrollers with WebAssembly;3,33;1;;;;0;0;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;7;7;3,33;HIGH;18;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Ribeiro E.; Restivo A.; Ferreira H.S.; Dias J.P.";2024;10.1016/j.jss.2024.112081;https://www.scopus.com/pages/publications/85192025807?origin=resultslist;The Internet-of-Things (IoT) has created a complex environment where hardware and software interact in complex ways. Despite being a prime candidate for applying well-established software engineering practices, IoT has not seen the same level of adoption as other areas, such as cloud development. This discrepancy is even more evident in the case of edge devices, where programming and managing applications can be challenging due to their heterogeneous nature and dependence on specific toolchains and languages. However, the emergence of WebAssembly as a viable solution for running high-level languages on some devices presents an opportunity to streamline development practices, such as DevOps. In this paper, we present WASMICO — a firmware and command-line utility that allows for the execution and management of application lifecycles in microcontrollers. Our solution has been benchmarked against other state-of-the-art tools, demonstrating its feasibility, novel features, and empirical evidence that it outperforms some of the most widely used solutions for running high-level code on these devices. Overall, our work aims to promote the use of well-established software engineering practices in the IoT domain, helping to bridge the gap between cloud and edge development. © 2024 Elsevier Inc.;;Journal of Systems and Software;;;2 - CI/CD for Development, Integration, and Deployment;microcontroller/edge IoT devices;DevOps lifecycle management via WebAssembly runtime;"WebAssembly (Wasm); WASMICO CLI";Directly presents WASMICO, a tool enabling DevOps lifecycle management on IoT microcontrollers via WebAssembly, with empirical benchmarking.;7;0;4;0;7;
;Article;J;7 - Comparative Analysis of Frameworks.;HIGH;103;A devops framework for the systematic engineering and evolution of digital twins for built assets;3,32;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;1;0;0;3,32;MEDIUM;31;HIGH;GOOD;HIGH;GOOD;YES;YES;"Aissat S.; Beaulieu J.; Poirier É.; Motamedi A.; Gascon-Samson J.; Bordeleau F.";2025;10.1007/s10270-025-01330-0;https://www.scopus.com/pages/publications/105020411096?origin=resultslist;"Digital twins (DT) constitute complex software systems that need to be continuously modified/updated to meet evolving user requirements and priorities, and support continual improvement. Because their aim is to monitor and improve different system aspects, their development requires the collaboration of people from different domains of expertise, e.g., the development of a DT for built assets may involve the collaboration of experts in software engineering, thermal comfort, air quality, energy consumption, building security, etc. Consequently, DTs need to be engineered to enable the fast and secure integration and deployment of new code, the systematic and iterative evolution of their components, and the independent development of different system aspects by those experts. In this paper, we present JuNo-OPS, a DevOps framework for the engineering of DTs for built assets. The framework is being developed, tested, and validated in the context of various DT projects at École de Technologie Supérieure (ETS), including the development of a DT for a multi-functional room and a DT for a climatic chamber. We focus on two main aspects of DT engineering: the DT architecture; and the DevOps infrastructure used to support the development, continuous integration, and continuous delivery of the DT software. We also discuss challenges and next steps related to the development and evolution of the framework. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.";;Software and Systems Modeling;;;2 - CI/CD for Development, Integration, and Deployment;digital twins for built assets (smart buildings, IoT sensor environments);"DevOps infrastructure; CI/CD for DT software";JuNo-OPS framework;Presents a DevOps framework for digital twins of built assets involving IoT-connected sensor environments, addressing CI/CD pipeline architecture and DevOps practices, though IoT is somewhat secondary to the DT focus.;0;0;0;0;0;
scopus;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;105;A Distributed Container-Based Internet of Things (IoT)-Enabled Autonomous E-Healthcare System for Development and Operations (DevOps);2,32;1;;;;0;0;;0;;;;0;0;;1;;1;1;;0;;;;;;0;0;;0;0;2,32;HIGH;13;GOOD;HIGH;SUFFICIENT;SUFFICIENT;YES;YES;"Dai Q.; Qin G.; Li R.";2026;10.1007/978-3-032-03215-7_6;https://www.scopus.com/pages/publications/105021834159?origin=resultslist;It is a trend for hospitals to shift healthcare applications to cloud computing because the cloud has a powerful computing ability. The valuable, sensitive patient data is stored in the remote cloud. This makes it necessary for a hospital to build an autonomous cloud. However, there is a conflict between limited IT department staff and prosperous e-healthcare applications. To solve this problem, a distributed container-based Internet of Things (IoT)-enabled e-healthcare system for Development and Operations (DevOps) is presented. Using container technology and orchestration, a traditional healthcare application is deconstructed into a series of containers and is reorganized according to the application logic that facilitates DevOps. The introducing of container technology makes it possible to automatically increase or decrease docker containers when the e-healthcare application scales up or down. The function and performance of the proposed system are proved through three cases, i.e., scalability, service, and continuous integration (CI)/continuous delivery (CD) pipeline. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2026.;;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;;;2 - CI/CD for Development, Integration, and Deployment;e-healthcare IoT (hospital cloud);"containerization; orchestration; CI/CD";Docker;Presents a container-based IoT-enabled e-healthcare system explicitly designed around DevOps principles including CI/CD pipelines, scalability, and continuous delivery.;0;0;0;0;0;
"scopus; wos";Conference paper;C;4 - Performance Monitoring;MEDIUM;107;A Running Prototype for Dynamic QoS Management in the Cloud Continuum;0,99;2;;;;0;0;;0;;;2;2;1;;1;;1;1;;0;;;;;;0;0;;0;0;1,98;MEDIUM;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;YES;"Sanou D.J.C.; Yangui S.; Faci N.";2026;10.1007/978-981-96-7423-7_30;https://www.scopus.com/pages/publications/105013049207?origin=resultslist;The Cloud Continuum refers to the distributed, heterogeneous and dynamic ecosystem that covers a full spectrum of computing environments such as cloud computing, cloud/edge computing and the Internet of Things. In this context, proactive QoS management is challenging taking into consideration the dynamicity and the prospective mobility of the different entities involved in the continuum. The aim of this paper is twofold (i) highlight the need for dynamic and proactive QoS management models to provision the emerging applications such as autonomous vehicles and car platooning, and (ii) demonstrate the value-added of the adoption of DevOps and Site Reliability Engineering (SRE) techniques while managing their hosting network and infrastructures. The presented prototype implements a proactive video streaming service for car platooning. It relies on an innovative machine learning models switching approach during the platoon movement to enable the dynamic and proactive QoS management. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.;;Lecture Notes in Computer Science;;;4 - Performance Monitoring;cloud continuum incl. IoT (autonomous vehicles/car platooning);"DevOps; Site Reliability Engineering (SRE); proactive QoS management";custom ML model-switching approach;Demonstrates DevOps and SRE adoption for QoS management across a cloud continuum that includes IoT, though IoT+DevOps integration is not the primary focus.;0;0;0;0;0;
scopus;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;112;AI-Driven Machine Learning Architecture for Scalable Irrigation Detection in Precision Agriculture: A Case Study with CropX;4;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;-1;1;1;4;MEDIUM;16;HIGH;HIGH;HIGH;HIGH;YES;YES;"Ozimek J.; Yakobovich M.; Hoving H.-J.; Capiluppi A.";2026;10.1007/978-3-032-02138-0_27;https://www.scopus.com/pages/publications/105015788031?origin=resultslist;Agriculture is a significant contributor to global water consumption, making the optimization of irrigation practices essential for sustainability. CropX, an agritech startup, seeks to automate irrigation event detection using large-scale Volumetric Water Content (VWC) data from IoT sensors. Ensuring scalability and accuracy is vital for decision-making within CropX’s farm management system. This paper describes the development of scalable machine learning (ML) models to automate irrigation detection in large, unbalanced datasets. We discuss the architectural patterns and software design decisions that enable these models to be effectively deployed within an AI-driven system, emphasizing MLOps and CI/CD practices. Multiple ML models were tested, including statistical methods (ARIMA, Kalman Filter), ano-maly detection techniques (Isolation Forest), and ensemble approaches. These were evaluated using performance metrics such as F1 score, precision, and recall. Additionally, we highlight the role of human-in-the-loop strategies in refining model predictions, showcasing the interaction between agronomists and AI-driven recommendations. Our contribution includes an analysis of the software architecture used for deploying ML models, focusing on microservices, data pipelines, and scalable cloud-based solutions. We illustrate how this system integrates with existing farm management platforms and discuss its implications for future AI-based agent systems in precision agriculture. The ensemble models achieved superior performance, significantly improving the F1 score compared to individual models. Their integration into CropX’s infrastructure has enhanced irrigation event detection while optimizing resource usage. In addition, a robust software architecture will support continuous integration and model evolution, ensuring system scalability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.;;Lecture Notes in Computer Science;;;2 - CI/CD for Development, Integration, and Deployment;precision-agriculture IoT sensors (CropX, irrigation);"MLOps; CI/CD";"ARIMA; Kalman Filter; Isolation Forest; microservices architecture";Describes MLOps and CI/CD practices for deploying ML models on IoT sensor data in precision agriculture, addressing DevOps tooling in an IoT context.;1;0;0;0;1;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;113;AI-Driven Predictive Patient Monitoring System Using Kubeflow and CI/CD Enabled MLOps Framework;1,98;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;0;0;1,98;;6;SUFFICIENT;GOOD;SUFFICIENT;GOOD;NO;YES;D. Sundaram;2025;10.1109/ICCA66035.2025.11430793;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11430793;Continuous and intelligent patient monitoring is essential for improving clinical outcomes and preventing avoidable deterioration in hospitals and remote care environments. Traditional systems rely on static thresholds and manual review, often missing subtle changes in patient status and contributing to alarm fatigue. This paper presents an AI-driven predictive monitoring system that integrates real-time physiological data streams with a Kubeflow-based MLOps pipeline and a fully automated CI/CD workflow. The system continuously learns from patient-specific baselines and adapts to evolving clinical patterns through automated retraining, validation, and deployment. By combining personalized risk modeling, scalable cloud-native architecture, and explainable AI, the proposed solution enhances early-warning capabilities and supports timely decision-making across ICU, chronic-care, and remote-monitoring scenarios.;"Predictive monitoring;patient deterioration;Kubeflow;MLOps;CI/CD;real-time analytics;deep learning;explainable AI;IoT healthcare;clinical decision support";;;;2 - CI/CD for Development, Integration, and Deployment;IoT healthcare (patient monitoring, ICU/remote care);"MLOps; CI/CD; automated retraining/validation/deployment";Kubeflow;;0;0;0;0;0;
scopus;Conference paper;C;1 - Novel Models for IoT;LOW;114;An attempt to adopt DevOps on embedded system development: Empirical evidence;1,32;2;;;;0;0;3;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;5;10;2,64;MEDIUM;10;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Wijaya P.E.; Rosyadi I.; Taryana A.";2019;10.1088/1742-6596/1367/1/012078;https://www.scopus.com/pages/publications/85076411753?origin=resultslist;DevOps is a method that integrates and narrows two environments in software development process, developer side and operational side. DevOps becomes a solution that can be offered to improve SDLC (System Development Life Cycle) in current embedded system development process. This paper provides a concept and its implementation to prove that DevOps adoption on embedded system architecture is possible. After doing the research, we found out that it is possible to adopt DevOps on embedded system development, we also provide empirical evidence and analyze the weaknesses about the concept designed. © 2019 IOP Publishing Ltd. All rights reserved.;;Journal of Physics: Conference Series;;;1 - Novel Models for IoT;embedded systems (generic, IoT-adjacent);DevOps adoption (SDLC integration);not specified;Provides empirical evidence of DevOps adoption on embedded systems development, which is closely related to IoT, though the IoT connection is implicit rather than explicit.;5;0;0;0;5;
scopus;Article;J;6 - Security, Privacy and Risk Assessment;HIGH;115;An efficient deep learning-based solution for network intrusion detection in wireless sensor network;3,33;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;5;5;3,33;LOW;24;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Sharma H.S.; Sarkar A.; Singh M.M.";2023;10.1007/s13198-023-02090-0;https://www.scopus.com/pages/publications/85168120034?origin=resultslist;This paper introduces a unique intrusion detection method that integrates developmental and operational frameworks, focusing specifically on the wireless sensor network. With the growing number of intrusions, safeguarding sensor nodes has become increasingly crucial. In addition to security breaches, unauthorized access to systems by fraudsters or intruders poses a risk to critical assets. Therefore, detecting and blocking potential threats in the wireless environment is of utmost importance. The proposed detection approach consists of two steps: feature extraction and classification. The study emphasizes the necessity of a distinct intrusion detection method and robust feature extraction and classification techniques. Incorporating a deep learning model is vital for enhancing the precision and accuracy of attack detection. Additionally, it is crucial for efficiency to optimize the CNN architecture’s filter size and filter count. The proposed DevOps-based intrusion detection technique involves feature extraction and classification. During the feature extraction stage, statistics and higher-order descriptors are combined with existing characteristics in the early processing of application data. The extracted features are then utilized by the classification method in conjunction with an improved DCNN approach. The technique optimizes the quantity and size of filters in the input vector and fully connected layers. In terms of accuracy as well as FNR, sensitivity, MCC, specificity, FDR, FPR, and NPV, F 1 -score against GAF-GYT and other attacks, the suggested technique outperforms conventional models. Specifically, in Application 3, the technique surpasses the DCNN, Innovative Gunner Algorithm, and FAE-GWO-DBN methods by 60.14%, 3.10%, and 5.46%, respectively. Furthermore, for Application 4, the suggested model demonstrates significantly lower FPR rates (91.46%, 67.15%, and 98.4%) compared to the FAE-GWO-DBN, AIG, and DCNN methods. Additionally, the suggested approach outperforms the DCNN, Innovative Gunner Algorithm, and FAE-GWO-DBN approaches by 69.76%, 3.27%, and 22.68%, respectively. © 2023, The Author(s) under exclusive licence to The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.;;International Journal of System Assurance Engineering and Management;;;6 - Security, Privacy and Risk Assessment;wireless sensor networks (security);"DevOps framing (superficial); mainly ML detection pipeline";"DCNN; hybrid Firefly-Grey Wolf Optimisation";Mentions DevOps as a framing for an intrusion detection pipeline in wireless sensor networks, but the DevOps integration is superficial and the focus is on the deep learning classification method itself.;0;0;5;0;5;
"ieee; scopus; wos";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;LOW;116;An experimental continuous delivery framework for SmartX-mini IoT-cloud playground;1,32;2;;;;0;0;2;1;;;;0;0;;2;;2;1;;0;;;;;;0;0;-1;4;8;2,64;HIGH;3;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"J. Bae; J. Kim";2016;10.1109/ICOIN.2016.7427129;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427129;Internet of Things (IoT), one of the hottest research targets, needs the systematic leverage from cloud-centric ICT infrastructure. Among several challenges for fast and economic IoT-Cloud service enablement, the continuous integration and delivery (CI/CD) framework is one of commonly wanted capabilities. In this paper, we introduce early experience with deploying an experimental continuous delivery framework for SmartX-mini IoT-Cloud Playground.;"Continuous integration and delivery;software-defined infrastructure;SDN/NFV/Cloud integration;IoT-Cloud software framework;Internet of Things";;2016 International Conference on Information Networking (ICOIN);IEEE;2 - CI/CD for Development, Integration, and Deployment;IoT-cloud playground (SmartX-mini);CI/CD framework;not specified;Directly presents an experimental CI/CD framework deployed in an IoT-Cloud playground, addressing both practices and tooling for DevOps+IoT integration.;4;3;4;0;4;
scopus;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;LOW;117;An Intelligent Edge System for Face Mask Recognition Application;2,31;2;;;;0;0;3;1;;;;0;0;;2;;2;1;;0;;;;;;0;0;;5;10;4,62;MEDIUM;12;GOOD;GOOD;GOOD;SUFFICIENT;NO;YES;"Le-Anh T.; Nguyen-Van B.; Le-Trung Q.";2022;10.1007/978-3-031-08878-0_8;https://www.scopus.com/pages/publications/85132989390?origin=resultslist;In the modern age, the growth of embedded devices, IoT (Internet of Things), 5G (Fifth Generation) and AI (Artificial Intelligence), has driven edge AI applications. Adopting Edge computing for AI applications intends to deal with power consumption, network capacity, response latency issues. In this paper, we introduce an intelligent edge system. It aims to assist with managing and developing microservices based AI applications on embedded computers with limited hardware resource. The proposed system uses Docker/Containerd and lightweight Kubernetes cluster (K3s) for high availability, self-healing, load balancing, scaling and automated deployment. It also facilitates GPU (Graphics Processing Unit) to speed up AI applications. The centralized cluster management and monitoring features simplify clusters and services administration, especially on a large scale. Meanwhile, container registry and DevOps platform with built-in code repository and CI/CD (Continuous Integration/Continuous Delivery) offer continuous integration and delivery for AI applications running on the cluster. This improves the process of AI applications development and management at the edge. In this experience, we implement the face mask recognition application with the proposed system. This application engages the state-of-the-art and lightweight object detection models with deep learning, observing mask violations to contribute to reducing the spread of COVID-19 disease. © 2022, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.;;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;;;2 - CI/CD for Development, Integration, and Deployment;edge AI IoT devices (face-mask recognition, embedded/limited HW);"CI/CD; container orchestration; built-in DevOps platform";"Docker/Containerd; K3s (lightweight Kubernetes); GPU";Presents an intelligent edge system for IoT/AI applications using Kubernetes, Docker, and a built-in CI/CD DevOps platform, demonstrating concrete tooling integration for IoT edge deployments.;5;0;0;0;5;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;119;Analysis of Revolutionizing IoT Solutions through Cloud Computing Integration;0,99;1;;;;0;0;;0;1;;;1;1;;;;0;0;;0;;;;;;0;0;;1;1;0,99;MEDIUM;7;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;NO;"S. I. Abbas; R. Walia";2024;10.1109/ICSADL61749.2024.00012;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10601416;This research work investigates the significant potential for increasing productivity and promoting innovation in a range of sectors presented by the combination of DevOps, Cloud Computing, and Internet of Things IoT. The transformational influence of this convergence is presented quantitatively in this research. Our findings highlighted the efficiency improvements of the integrated strategy in the field of IoT deployment, showing a noteworthy 71.67% decrease in deployment time when compared to traditional techniques. Furthermore, the integration demonstrated its potential for cost reductions by enabling a 37.5% decrease in expenses through dynamic resource scaling. This connection enabled real-time data analysis, which led to an astounding 91.67% decrease in reaction time when compared to conventional data analysis techniques. This demonstrates how it may provide real-time insights that are essential for Internet of Things applications. This study offers strong quantitative proof that the confluence of IoT, cloud computing, and DevOps is a route to increased productivity and creativity that has the ability to transform sectors and propel advancement in the digital age.;"AWS;Azure;Cloud Computing;IoT;DevOps";;2024 3rd International Conference on Sentiment Analysis and Deep Learning (ICSADL);IEEE;2 - CI/CD for Development, Integration, and Deployment;generic IoT deployment (cloud-integrated);"DevOps; dynamic resource scaling; real-time analytics";"AWS; Azure";Provides quantitative evidence of efficiency gains from integrating DevOps, cloud computing, and IoT, though the methodology and framework details are limited.;1;1;0;0;1;
ieee;IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;120;Applying DevOps and DaaS in the Smart Laboratory of Internet of Things;1,32;1;;;;0;0;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;0;0;1,32;HIGH;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"I. Izotov; N. Papulovskaya";2026;10.1109/Inforino68543.2026.11556658;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11556658;This paper presents the results of developing a Smart Laboratory. The Smart Laboratory is a platform for remotely developing embedded system software. It enables remote access to physical hardware for software development, testing, and deployment on microcontroller-based devices. The creation of the online laboratory involved several key tasks: designing a network infrastructure to integrate laboratory equipment into a unified system, developing a web application for remote interaction with microcontrollers, implementing a digital twin of the test module for flexible configuration and management, and conducting testing and validation. During development, a hypothesis emerged that the combination of DevOps and Device as a Service (DaaS) opens new possibilities for automated IoT device management. The DaaS concept enables on-demand remote access to physical devices, while the DevOps methodology facilitated the automation of user software deployment. A compilation and delivery pipeline for firmware updates was implemented to support this process. Ansible was utilized to automate software updates on Raspberry Pi testbed computers. Prometheus was employed for metric collection, and Grafana was used for data visualization, ensuring system performance monitoring. The platform was tested and validated at the Institute of Radio Electronics and Information Technologies - RTF (UrFU). The invention has been patented.;"cyber-physical systems;embedded systems;Internet of Things;DevOps;digital twin;remote laboratory;microcontroller programming";;2026 8th International Conference on Information Technologies in Engineering Education (Inforino);IEEE;2 - CI/CD for Development, Integration, and Deployment;remote embedded-systems lab (microcontroller-based IoT devices);"DevOps + Device-as-a-Service (DaaS); CI/CD firmware pipeline; monitoring";"Ansible; Prometheus; Grafana; Raspberry Pi";Directly implements DevOps+DaaS for IoT firmware delivery using CI/CD pipelines, Ansible, Prometheus, and Grafana on a microcontroller-based smart laboratory platform.;0;0;0;0;0;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;LOW;122;Automatic Deployment Pipeline for Containerized Application of IoT Device;2,64;2;;;;0;0;2;1;;;;0;0;;;1;1;1;;0;;;;;;0;0;;5;10;5,28;MEDIUM;6;GOOD;GOOD;GOOD;GOOD;NO;YES;"Y. Yulianto; E. Utami; Kusnawi";2022;10.1109/ICITISEE57756.2022.10057699;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057699;In this modern era, many companies in the technology field compete to win the hearts of customers. To keep up with the competition and meet customers' needs, companies must be able to adapt to changes in their products. One software development methodology that focuses on customer satisfaction is the agile methodology. This approach is popular among software development teams because it allows them to quickly respond to changes in customer needs. This study aims to apply a combination of Gitlab CI and Jenkins to implement a CI/CD pipeline on two software applications called Fishee Backend App and Fishee Frontend App, which use different technologies and also use agile methodology approach in development process. The study aims to evaluate the quality of the pipeline and the time required for the deliver changes to customer. The results show that the Fishee Backend App takes time 153.7 seconds and The Fishee Frontend App takes 174.2, In terms of successful pipeline jobs, the Fishee Backend App reached 70.45% and Fishee Frontend App reached 83,3%. Based on these findings, the use of a combination of Jenkins and Gitlab CI in the CI/CD process can be effective and more faster than previous research for automating the deployment of container-based applications. However, the study was limited to implementation on the Digital Ocean platform and did not compare with other VPS provider platforms. It is recommended that future research extend the scope of the study to include other technology stacks and compare the performance of different CI/CD tools on a range of VPS provider platforms.;"Agile;CI/CD;Docker;Automation;Software Development";;2022 6th International Conference on Information Technology, Information Systems and Electrical Engineering (ICITISEE);IEEE;2 - CI/CD for Development, Integration, and Deployment;containerized IoT device application;"CI/CD pipeline; Agile methodology";"GitLab CI; Jenkins; Docker";Implements a CI/CD pipeline (GitLab CI + Jenkins) for a containerized IoT device application, directly addressing DevOps tooling in an IoT deployment context.;5;3;0;0;5;
